images,0,2,3,6,7,9,Very_Low_Height,Very_Thick,Very_Left_Leaning,Very_Right_Leaning,Very_High_Height,Very_Thin,Upright
79.png,0,0,0,0,1,0,0,0,0,1,0,1,0
80.png,0,0,0,0,0,1,0,0,0,0,0,0,1
81.png,1,0,0,0,0,0,0,0,0,0,0,0,0
83.png,0,0,0,1,0,0,0,0,0,0,0,0,0
84.png,0,0,0,0,1,0,0,0,0,0,1,0,0
85.png,0,0,0,0,0,0,0,0,0,0,0,0,0
86.png,0,0,1,0,0,0,0,0,1,0,0,0,0
87.png,0,0,0,0,0,1,0,0,0,0,1,0,0
88.png,1,0,0,0,0,0,0,0,0,0,0,0,1
89.png,0,0,0,0,0,0,0,0,0,1,0,0,0
90.png,0,0,0,1,0,0,0,0,0,0,0,0,0
91.png,0,0,0,0,1,0,0,0,0,0,0,0,0
92.png,0,0,0,0,0,0,0,0,0,0,0,0,0
93.png,0,0,0,1,0,0,0,0,0,0,0,0,0
94.png,0,0,0,0,0,0,0,0,0,0,0,1,0
95.png,1,0,0,0,0,0,0,0,0,0,0,0,0
96.png,0,0,0,0,1,0,0,0,0,0,1,0,1
97.png,0,0,0,0,0,0,0,0,0,0,0,1,0
98.png,0,0,1,0,0,0,0,0,0,0,1,0,1
99.png,0,0,0,0,0,0,0,0,0,0,0,1,0
100.png,0,0,0,0,0,0,0,0,0,0,1,0,1
101.png,0,0,0,0,1,0,0,0,0,0,0,0,0
102.png,0,0,0,0,0,0,0,0,0,0,1,0,1
103.png,0,0,0,0,1,0,0,0,0,0,0,0,0
104.png,0,0,0,0,0,0,0,0,0,0,1,0,0
105.png,0,0,0,0,0,0,0,0,0,0,0,0,0
106.png,0,0,0,1,0,0,0,0,0,0,0,1,0
107.png,0,0,1,0,0,0,0,0,0,0,1,0,0
108.png,1,0,0,0,0,0,0,0,0,0,0,1,0
109.png,0,1,0,0,0,0,1,0,0,0,0,0,0
110.png,0,0,0,0,0,1,0,0,0,0,0,1,0
111.png,0,0,1,0,0,0,0,0,0,0,0,0,0
112.png,0,0,0,0,0,0,0,0,0,0,0,0,1
113.png,0,0,0,0,0,0,0,1,0,1,1,0,0
114.png,1,0,0,0,0,0,0,0,0,0,0,0,0
115.png,0,0,0,0,0,0,0,0,0,0,0,1,0
116.png,0,0,0,0,0,1,0,0,0,0,1,0,1
117.png,0,1,0,0,0,0,0,0,0,0,0,1,0
118.png,1,0,0,0,0,0,0,0,0,0,0,0,0
119.png,1,0,0,0,0,0,0,0,0,1,0,0,0
121.png,1,0,0,0,0,0,0,0,0,0,1,0,0
122.png,0,1,0,0,0,0,0,0,0,0,0,0,0
123.png,0,0,0,0,1,0,0,0,0,0,1,0,0
124.png,0,0,0,0,0,0,0,0,0,0,1,0,0
125.png,0,0,0,0,0,0,0,0,0,0,1,0,0
126.png,0,0,0,1,0,0,0,0,0,0,1,0,1
127.png,0,0,0,0,0,0,0,0,0,1,0,0,0
128.png,0,0,0,0,0,0,0,0,0,0,0,0,1
129.png,0,0,0,1,0,0,0,1,0,0,1,0,0
130.png,0,0,1,0,0,0,0,0,0,0,1,0,1
131.png,0,0,0,0,0,0,0,0,0,0,0,1,0
132.png,0,0,0,0,0,0,0,0,0,0,0,0,1
133.png,0,0,0,0,0,1,0,0,0,0,1,0,0
134.png,0,0,0,0,0,0,0,0,1,0,0,0,0
135.png,0,0,1,0,0,0,0,0,0,0,0,0,0
136.png,0,0,1,0,0,0,0,0,0,0,0,0,0
137.png,0,0,0,0,0,0,0,1,0,0,1,0,0
138.png,0,0,0,0,0,0,0,0,0,0,0,1,0
139.png,0,0,0,0,0,0,0,0,0,0,1,0,0
140.png,0,0,0,0,1,0,0,0,0,0,1,0,0
141.png,0,0,0,0,1,0,0,0,0,1,0,0,0
142.png,0,0,0,0,0,0,0,0,0,0,0,0,0
143.png,0,1,0,0,0,0,1,0,0,0,0,0,0
144.png,0,0,0,0,0,0,0,0,0,0,1,0,1
145.png,0,0,0,0,0,0,0,0,0,1,0,1,0
146.png,0,0,0,0,0,0,0,0,0,0,0,0,0
147.png,0,0,0,1,0,0,0,0,0,0,0,0,1
148.png,0,0,0,0,1,0,0,0,0,0,0,0,0
149.png,0,0,1,0,0,0,0,0,0,0,1,0,1
150.png,0,0,0,0,0,0,0,0,0,0,0,1,1
151.png,0,0,0,1,0,0,0,0,0,0,1,0,0
152.png,0,0,0,0,0,0,0,0,0,0,0,1,0
153.png,0,0,0,0,0,1,0,0,0,0,0,1,0
154.png,0,0,0,0,0,1,0,0,0,0,1,0,0
155.png,0,0,0,1,0,0,0,1,0,0,1,0,0
156.png,1,0,0,0,0,0,0,0,0,0,0,1,0
157.png,0,0,1,0,0,0,0,0,0,1,0,1,0
158.png,0,0,0,0,1,0,0,0,1,0,0,1,0
159.png,0,1,0,0,0,0,0,0,0,0,0,0,1
160.png,0,0,0,0,0,0,0,0,0,0,1,0,1
161.png,0,1,0,0,0,0,0,0,0,0,0,0,0
162.png,0,0,0,0,0,1,0,0,0,0,0,1,0
163.png,0,0,0,0,0,0,1,0,0,1,0,1,0
164.png,0,0,0,0,0,0,0,1,0,0,1,0,0
165.png,0,0,0,1,0,0,0,0,0,0,0,0,0
166.png,0,0,0,0,0,0,0,0,0,0,0,0,0
167.png,0,0,0,0,0,1,0,0,0,0,0,1,0
168.png,0,0,0,0,1,0,0,1,0,0,1,0,1
169.png,1,0,0,0,0,0,0,0,0,0,0,0,0
170.png,0,0,0,0,0,1,0,0,0,0,0,1,0
171.png,0,1,0,0,0,0,0,0,0,0,0,0,1
172.png,0,0,0,0,0,1,0,0,0,0,0,0,1
173.png,0,0,0,0,0,0,1,0,0,1,0,1,0
174.png,0,0,0,0,0,0,0,0,0,0,0,1,0
175.png,0,0,0,0,0,0,0,0,0,1,0,0,0
176.png,0,0,0,0,0,1,0,0,0,0,0,0,0
177.png,0,0,0,0,0,0,0,1,0,0,1,0,0
178.png,0,1,0,0,0,0,0,0,0,1,1,0,0
179.png,0,0,1,0,0,0,0,0,0,0,1,0,0
180.png,0,1,0,0,0,0,0,0,0,0,0,0,1
181.png,0,0,1,0,0,0,0,0,0,0,1,0,0
182.png,0,0,0,0,0,0,0,0,0,0,1,0,1
183.png,0,0,0,0,0,1,0,0,0,0,0,1,1
184.png,0,0,0,0,0,0,0,0,0,0,1,0,0
185.png,0,0,0,0,1,0,0,0,0,0,0,0,0
186.png,0,0,0,1,0,0,0,0,0,0,0,0,0
187.png,0,1,0,0,0,0,0,0,0,0,0,0,0
188.png,0,0,0,0,0,0,0,0,0,0,0,1,1
189.png,0,1,0,0,0,0,0,0,0,0,0,0,0
190.png,0,1,0,0,0,0,0,0,0,0,0,0,1
191.png,0,0,0,0,0,0,0,0,0,1,0,1,0
192.png,1,0,0,0,0,0,0,0,0,0,1,0,0
193.png,0,0,0,0,1,0,0,0,0,0,0,0,0
194.png,0,0,0,0,0,0,0,0,0,0,0,1,0
195.png,0,0,0,0,0,1,0,0,0,0,0,0,0
196.png,0,0,0,0,1,0,0,0,0,0,0,0,0
197.png,0,0,0,0,0,0,0,0,0,1,0,0,0
198.png,0,0,1,0,0,0,0,0,0,0,0,0,0
199.png,0,1,0,0,0,0,0,0,0,0,0,0,0
200.png,0,0,0,0,0,0,0,0,0,0,0,0,0
201.png,0,0,0,0,0,0,0,0,0,1,0,1,0
202.png,0,0,0,0,0,0,0,0,0,1,1,0,0
203.png,0,0,1,0,0,0,0,0,0,1,0,1,0
204.png,0,0,0,1,0,0,0,0,0,0,0,0,0
205.png,0,0,0,0,0,0,0,0,0,1,1,0,0
206.png,1,0,0,0,0,0,0,0,0,0,0,0,0
207.png,0,0,1,0,0,0,0,0,0,1,0,0,0
208.png,0,0,0,0,0,0,0,0,0,0,0,0,0
209.png,1,0,0,0,0,0,0,0,0,0,1,0,1
210.png,1,0,0,0,0,0,0,0,0,0,0,1,1
211.png,0,0,0,0,0,0,0,1,0,0,1,0,0
212.png,0,0,0,0,1,0,0,0,0,0,0,1,0
213.png,0,1,0,0,0,0,0,0,0,0,0,0,0
214.png,0,0,0,0,1,0,0,0,0,0,0,0,0
215.png,0,0,1,0,0,0,0,0,0,0,1,0,0
216.png,1,0,0,0,0,0,0,0,0,0,1,0,1
217.png,0,0,0,0,0,0,0,0,0,0,0,1,0
218.png,0,0,0,1,0,0,0,0,0,0,0,0,1
219.png,0,0,0,0,0,0,0,0,0,1,0,0,0
220.png,0,1,0,0,0,0,0,0,0,0,1,0,1
221.png,0,0,0,1,0,0,0,0,0,0,0,0,1
222.png,0,0,0,0,0,0,0,0,0,0,0,0,0
223.png,0,0,0,0,1,0,0,0,0,0,1,0,0
224.png,0,0,0,0,0,0,0,0,0,0,1,0,0
225.png,0,0,0,0,0,0,0,0,0,0,0,1,0
226.png,0,0,0,0,0,1,0,0,0,0,0,0,0
227.png,0,0,0,0,0,1,0,0,0,0,0,0,1
228.png,0,0,1,0,0,0,0,0,1,0,0,1,0
229.png,1,0,0,0,0,0,0,0,0,0,1,0,1
230.png,0,0,0,0,1,0,0,0,0,0,1,0,0
231.png,0,0,0,0,0,0,0,0,0,0,0,0,0
232.png,1,0,0,0,0,0,0,0,0,0,0,1,1
233.png,0,1,0,0,0,0,0,0,0,1,0,0,0
234.png,1,0,0,0,0,0,0,0,0,0,0,0,0
235.png,0,0,1,0,0,0,0,0,0,0,0,0,0
236.png,0,0,0,0,0,0,0,0,0,0,1,0,0
237.png,0,0,0,0,0,0,0,0,0,0,0,1,1
238.png,0,0,0,1,0,0,0,0,0,0,1,0,1
239.png,0,0,0,0,0,0,0,0,0,1,0,0,0
240.png,0,0,0,0,0,0,0,0,0,0,0,1,1
241.png,0,0,0,1,0,0,0,0,0,0,0,0,0
242.png,0,0,1,0,0,0,0,0,0,0,0,1,0
243.png,0,0,0,0,1,0,0,0,0,0,0,0,1
244.png,0,0,0,0,0,0,0,1,0,0,1,0,1
245.png,0,0,0,0,0,0,0,0,0,0,0,0,0
246.png,1,0,0,0,0,0,0,0,0,0,0,1,0
247.png,0,0,0,0,0,1,0,0,0,0,0,1,1
248.png,0,0,0,0,0,0,0,0,0,0,1,0,0
249.png,1,0,0,0,0,0,0,0,0,0,1,0,1
250.png,0,0,1,0,0,0,1,0,1,0,0,1,0
251.png,0,0,0,0,0,0,0,0,0,0,0,0,0
252.png,0,1,0,0,0,0,0,0,0,0,0,0,1
253.png,0,1,0,0,0,0,0,0,0,0,1,0,0
254.png,0,0,1,0,0,0,0,0,0,0,0,1,1
255.png,0,0,1,0,0,0,0,0,0,0,0,0,0
256.png,0,0,0,1,0,0,0,0,0,0,1,0,0
257.png,0,0,0,0,0,0,0,0,0,1,0,1,0
258.png,0,0,0,0,1,0,0,0,0,0,0,1,0
259.png,0,0,0,0,0,0,0,0,0,1,0,0,0
260.png,1,0,0,0,0,0,1,0,0,0,0,0,0
261.png,0,0,0,1,0,0,0,0,0,0,0,1,1
262.png,0,1,0,0,0,0,0,0,0,0,0,1,1
263.png,0,0,0,0,1,0,0,0,0,0,1,0,0
264.png,0,0,0,0,0,1,0,0,0,0,1,0,0
265.png,0,0,0,0,0,0,0,1,0,0,1,0,0
266.png,0,0,0,0,0,0,0,0,0,0,0,0,1
267.png,0,0,0,0,0,1,0,0,0,0,0,0,1
268.png,0,1,0,0,0,0,1,0,0,0,0,1,0
269.png,0,0,0,0,0,0,0,0,0,0,0,0,0
270.png,0,0,0,0,0,0,0,0,0,0,0,0,0
271.png,0,0,0,0,0,0,0,0,0,0,1,0,0
272.png,0,0,0,0,0,0,0,0,0,0,0,0,0
273.png,0,0,0,0,0,0,0,0,0,1,0,0,0
274.png,0,0,0,1,0,0,0,0,0,0,0,0,0
275.png,0,0,0,0,0,0,0,0,0,0,1,0,0
276.png,0,0,0,0,0,0,0,0,0,0,1,0,0
277.png,0,1,0,0,0,0,0,0,0,0,1,0,0
278.png,0,0,0,0,0,0,0,0,0,0,0,1,0
279.png,0,0,1,0,0,0,0,0,0,0,0,0,0
280.png,0,0,0,0,0,1,0,0,0,0,0,1,1
281.png,0,0,1,0,0,0,0,0,0,0,1,0,0
282.png,0,0,0,0,0,1,0,0,1,0,1,0,0
283.png,1,0,0,0,0,0,0,0,0,0,1,0,1
284.png,0,0,0,0,0,0,0,0,0,0,0,0,0
285.png,0,0,0,0,0,1,0,0,0,0,0,0,1
286.png,0,0,0,1,0,0,0,1,0,0,0,0,0
287.png,0,0,0,0,0,0,0,0,0,1,0,0,0
288.png,0,0,0,0,1,0,0,0,0,0,0,0,1
289.png,0,0,0,0,0,0,0,0,0,0,1,0,0
290.png,0,0,0,0,0,0,0,0,0,0,1,0,0
291.png,0,0,1,0,0,0,0,0,0,0,1,0,0
292.png,0,0,0,0,0,0,0,0,0,0,0,1,1
293.png,1,0,0,0,0,0,0,1,0,0,1,0,0
294.png,0,0,0,0,0,0,0,0,1,0,0,0,0
295.png,0,0,0,0,0,0,0,0,0,0,0,1,0
296.png,1,0,0,0,0,0,0,0,0,0,0,0,0
297.png,0,0,0,0,0,0,0,0,0,1,0,1,0
298.png,0,0,1,0,0,0,0,0,0,0,0,0,0
299.png,0,0,0,1,0,0,0,0,0,0,0,0,1
300.png,0,0,0,0,0,0,0,0,0,0,0,0,0
301.png,0,0,0,0,1,0,0,0,0,0,0,1,0
302.png,0,0,0,1,0,0,0,1,0,0,1,0,0
303.png,1,0,0,0,0,0,0,0,0,0,0,0,0
304.png,0,0,0,0,0,1,0,0,0,0,0,0,0
305.png,0,0,0,0,1,0,0,0,0,0,0,0,0
306.png,0,0,0,0,0,0,0,0,0,0,0,0,1
307.png,0,0,0,0,1,0,0,0,0,0,0,1,0
308.png,0,1,0,0,0,0,0,0,0,0,0,0,0
309.png,0,0,0,0,0,0,0,0,0,0,0,0,0
310.png,0,0,0,0,0,0,0,0,0,0,0,0,1
311.png,0,0,0,1,0,0,0,0,0,0,0,0,1
312.png,0,0,0,0,0,0,0,0,0,0,0,0,1
313.png,0,0,0,0,0,1,0,0,0,0,0,1,0
314.png,0,0,0,0,0,0,0,0,0,0,0,0,0
315.png,0,0,0,0,0,0,0,0,0,1,1,0,0
316.png,0,0,0,0,0,0,0,0,0,0,0,0,0
317.png,0,1,0,0,0,0,0,0,0,1,0,0,0
318.png,0,1,0,0,0,0,0,0,0,0,1,0,1
319.png,0,0,0,0,0,1,0,0,0,0,0,1,0
320.png,1,0,0,0,0,0,0,0,0,0,1,0,1
321.png,0,0,1,0,0,0,0,0,0,0,1,0,0
322.png,0,0,0,0,0,1,0,0,0,0,0,0,0
323.png,0,0,0,1,0,0,0,0,0,0,0,0,1
324.png,0,0,0,0,1,0,0,0,0,0,0,0,1
325.png,0,1,0,0,0,0,0,1,0,0,1,0,0
326.png,1,0,0,0,0,0,0,0,0,0,0,0,0
327.png,0,0,1,0,0,0,0,0,0,1,0,0,0
328.png,0,0,0,0,0,0,0,0,0,0,0,0,1
329.png,0,0,0,0,0,0,0,0,0,1,1,0,0
330.png,0,0,1,0,0,0,0,0,0,0,0,0,1
331.png,0,0,0,1,0,0,0,0,0,0,1,0,1
332.png,0,0,0,0,0,0,0,0,0,0,1,0,1
333.png,0,0,0,0,0,0,0,0,0,0,0,1,0
334.png,0,0,0,0,0,1,0,0,0,0,0,1,0
335.png,0,0,0,0,0,0,0,0,0,1,0,1,0
336.png,0,0,0,0,0,0,0,0,0,0,0,1,1
337.png,0,0,0,0,1,0,0,0,0,0,1,0,0
338.png,0,0,0,0,0,0,0,0,0,0,0,0,1
339.png,0,1,0,0,0,0,0,0,0,1,0,1,0
340.png,0,0,0,0,1,0,0,0,0,0,0,1,0
341.png,0,0,1,0,0,0,0,0,0,1,0,0,0
342.png,0,0,0,0,0,0,0,0,0,0,0,0,0
343.png,0,0,0,0,0,0,0,0,0,1,0,0,0
344.png,0,0,0,0,0,1,0,0,0,0,0,1,0
345.png,0,0,0,0,0,0,0,0,0,1,1,0,0
346.png,0,0,0,0,0,1,0,0,0,0,0,1,0
348.png,0,0,0,0,0,0,0,0,0,0,0,0,0
349.png,0,0,0,0,1,0,0,0,0,0,1,0,0
350.png,0,0,0,0,0,1,0,0,0,0,0,0,0
351.png,0,0,0,0,0,0,0,0,0,1,0,0,0
352.png,0,0,0,0,0,0,0,0,0,0,1,0,1
353.png,0,0,0,0,1,0,0,0,0,0,0,1,0
354.png,0,0,0,0,0,0,0,0,0,0,0,0,0
355.png,0,0,0,0,0,0,0,0,0,1,0,0,0
356.png,0,0,1,0,0,0,0,0,0,0,1,0,0
357.png,0,0,0,0,0,0,0,0,0,1,0,0,0
358.png,0,0,0,0,0,0,0,0,0,0,1,0,0
359.png,1,0,0,0,0,0,0,0,0,0,0,0,0
360.png,0,1,0,0,0,0,0,0,0,0,0,1,0
361.png,0,0,1,0,0,0,0,0,0,0,1,0,0
362.png,0,0,0,0,0,1,0,0,0,0,1,0,1
363.png,0,0,0,0,0,0,0,0,0,1,0,1,0
364.png,0,0,0,0,0,1,0,0,0,0,0,0,1
365.png,0,1,0,0,0,0,0,0,0,0,0,0,0
366.png,0,0,0,0,0,0,0,0,0,0,0,1,0
367.png,0,0,0,1,0,0,0,0,0,0,1,0,1
368.png,0,0,0,0,0,0,0,0,0,0,0,1,0
369.png,0,0,0,0,0,0,0,0,0,0,0,0,0
370.png,0,0,0,0,1,0,0,0,0,0,1,0,1
371.png,0,0,0,0,1,0,0,0,0,0,0,1,1
372.png,0,0,0,0,0,0,0,0,0,0,0,0,0
373.png,0,0,0,0,0,0,0,0,0,1,0,1,0
374.png,0,0,0,0,0,1,0,1,0,0,1,0,0
375.png,0,1,0,0,0,0,0,0,0,0,1,0,0
376.png,0,0,0,0,0,0,0,0,0,0,0,1,0
377.png,0,0,0,0,1,0,0,0,0,0,0,1,0
378.png,0,1,0,0,0,0,0,0,0,0,1,0,1
379.png,0,0,0,0,0,0,0,0,0,1,1,0,0
380.png,0,0,0,0,0,0,0,0,0,0,1,0,0
381.png,0,1,0,0,0,0,0,0,0,0,0,0,0
382.png,0,0,0,0,0,0,0,1,0,0,1,0,1
383.png,0,0,0,0,0,1,0,0,0,0,0,0,0
384.png,0,0,0,0,1,0,0,0,0,0,0,0,0
385.png,0,1,0,0,0,0,0,0,0,1,0,0,0
386.png,0,0,0,0,0,0,0,0,0,0,0,1,0
387.png,0,0,0,0,1,0,0,0,0,0,0,0,0
388.png,0,0,0,1,0,0,0,0,0,0,0,0,1
389.png,0,0,0,0,0,1,0,0,0,0,0,1,0
390.png,0,1,0,0,0,0,0,0,0,0,1,0,1
391.png,0,1,0,0,0,0,0,0,0,1,0,0,0
392.png,0,0,1,0,0,0,0,0,0,0,0,0,0
393.png,0,0,0,0,0,0,0,0,0,1,1,0,0
394.png,0,0,0,0,0,0,0,0,0,0,0,0,0
395.png,0,0,0,1,0,0,0,0,0,0,1,0,1
396.png,0,0,0,0,0,0,0,0,0,0,1,0,0
397.png,0,0,0,0,0,0,0,0,0,1,1,0,0
398.png,0,0,0,0,0,0,0,0,0,0,0,0,1
399.png,1,0,0,0,0,0,0,0,0,0,0,0,0
400.png,0,1,0,0,0,0,0,0,0,0,0,0,0
401.png,0,0,0,1,0,0,0,0,0,0,0,1,1
402.png,0,0,0,0,0,0,0,0,0,0,1,0,0
403.png,0,0,0,0,0,0,0,0,0,1,0,0,0
404.png,0,0,0,0,0,0,0,0,0,0,1,0,1
405.png,0,0,1,0,0,0,0,0,0,0,1,0,0
406.png,0,0,0,0,0,0,0,0,0,0,0,1,0
407.png,0,0,0,0,0,0,0,0,0,1,0,0,0
408.png,0,0,0,0,0,0,0,0,0,0,0,1,0
409.png,0,0,0,0,0,1,0,0,0,0,0,1,0
410.png,0,1,0,0,0,0,0,0,0,0,0,0,1
411.png,0,0,0,0,1,0,0,0,0,0,1,0,0
412.png,0,0,0,0,0,0,0,0,0,0,0,0,1
413.png,0,0,0,0,0,0,0,0,0,0,0,0,0
414.png,0,0,0,0,0,0,0,0,0,0,0,0,0
415.png,0,0,0,0,0,0,0,0,0,1,1,0,0
416.png,0,0,0,0,0,0,0,0,0,0,1,0,0
417.png,0,0,0,0,0,0,1,0,0,1,0,0,0
418.png,0,0,0,0,0,0,1,0,0,1,0,0,0
419.png,0,0,0,0,0,1,0,0,0,0,1,0,0
420.png,0,0,0,0,0,0,0,0,0,0,0,0,0
421.png,0,0,0,1,0,0,0,1,0,0,1,0,0
422.png,0,0,0,0,1,0,0,0,0,0,1,1,1
423.png,0,0,0,0,0,1,0,0,0,0,1,0,0
424.png,0,0,0,0,0,1,0,0,1,0,0,0,0
425.png,0,0,1,0,0,0,0,0,0,1,0,0,0
426.png,0,0,0,0,1,0,0,0,0,0,0,0,0
427.png,1,0,0,0,0,0,0,0,0,0,0,0,0
428.png,0,0,0,0,0,1,0,0,0,0,0,0,0
429.png,1,0,0,0,0,0,0,0,0,0,0,0,0
430.png,0,0,0,1,0,0,0,0,0,0,0,1,1
431.png,0,0,0,1,0,0,0,0,0,0,0,0,1
432.png,0,1,0,0,0,0,0,0,0,0,0,1,1
433.png,0,0,1,0,0,0,0,0,0,0,0,1,0
434.png,0,0,0,0,0,1,0,0,0,0,0,0,0
435.png,1,0,0,0,0,0,0,0,0,0,0,1,0
436.png,0,0,0,0,1,0,0,0,0,0,0,0,1
437.png,0,0,0,0,0,0,1,0,0,1,0,1,0
438.png,0,0,0,0,0,0,0,0,0,0,0,0,0
439.png,0,0,0,0,0,0,0,0,0,1,0,0,0
440.png,1,0,0,0,0,0,0,0,0,0,1,0,0
441.png,0,0,0,0,0,1,0,0,0,0,1,0,0
442.png,0,0,0,0,0,0,0,0,0,0,0,0,0
443.png,0,0,0,0,0,0,0,0,0,1,0,0,0
444.png,0,1,0,0,0,0,0,0,0,0,0,1,0
445.png,0,0,0,0,0,0,0,0,0,0,0,1,0
446.png,0,0,0,0,1,0,0,0,0,0,1,0,1
447.png,0,0,0,0,0,0,0,0,0,1,0,1,0
448.png,0,1,0,0,0,0,0,0,0,1,1,0,0
449.png,0,0,0,1,0,0,0,0,0,0,0,0,0
450.png,0,0,0,0,0,0,0,0,0,0,0,1,0
451.png,1,0,0,0,0,0,0,0,0,0,0,0,0
452.png,0,0,1,0,0,0,0,0,0,0,0,1,1
453.png,1,0,0,0,0,0,0,0,0,1,0,1,0
454.png,0,0,0,0,0,0,0,0,0,0,0,0,1
455.png,0,0,0,0,0,0,0,0,0,1,0,0,0
456.png,0,0,0,0,0,0,0,0,0,0,0,1,0
457.png,0,1,0,0,0,0,0,0,0,1,1,0,0
458.png,1,0,0,0,0,0,0,0,0,0,0,1,1
459.png,0,0,1,0,0,0,0,0,0,0,0,0,1
460.png,0,0,0,0,0,1,0,0,0,0,1,0,0
461.png,0,0,0,0,0,0,0,0,0,0,0,1,0
462.png,1,0,0,0,0,0,0,0,0,0,0,0,0
463.png,0,0,0,0,0,0,1,0,0,1,0,0,0
464.png,1,0,0,0,0,0,0,0,0,0,1,0,0
465.png,0,0,0,1,0,0,0,0,0,0,0,0,0
